College	Assist. Prof. Female Mean Salary (USD)	Assist. Prof. Male Mean Salary (USD)	Assoc. Prof. Female Mean Salary (USD)	Assoc. Prof. Male Mean Salary (USD)	Prof. Female Mean Salary (USD)	Prof. Male Mean Salary (USD)
AGNR	84802.40	84218.17	106375.20	93356.97	117593.00	124074.19
ARCH	67672.00	69894.50	82941.00	100548.60	113023.00	107422.00
ARHU	60549.57	60284.30	73770.50	77839.06	102495.30	100074.24
BMGT	156317.0	143886.3	160007.33	169414.38	199731.50	215912.24
BSOS	79604.80	83695.81	88187.36	91408.00	142542.75	151249.50
CLFS	70892.25	75077.00	103720.75	93240.83	110689.11	121837.06
CMPS	103104.0	105756.0	114360.00	115623.82	129045.86	143968.76
EDUC	67279.43	69237.00	82954.50	84400.00	109188.60	112381.76
ENGR	89205.33	89080.65	115825.00	114889.58	144690.67	161166.28
SPHL	73678.25	73813.80	77583.83	74028.50	110706.00	103759.30
